Repeat,Model,Contamination,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
18,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
18,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
19,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
19,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
19,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
19,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
20,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
20,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
20,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
20,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
21,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
21,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
21,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
21,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
22,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
22,Ridge,0.0,0.8543267867471532,0.12262397117576157,-0.29421035800993284,0.3390079357063504,-0.0022822059559220054,-0.04083301580936382,-0.8961675853212543,-0.8690707430381663
22,LASSO,0.0,0.8009574381665306,0.12708700893832958,-0.16275931275537456,0.20620745313617975,-0.0,-0.03060176164269008,-0.7901125382833255,-0.7556737928328296
22,Huber,0.0,0.9179849913899426,0.09969089574242848,-0.36274969443556127,0.4086432193811704,0.00919795012345134,-0.35251712906592386,-0.7556787836941884,-0.7519678060845618
23,OLS,0.0,0.8543830309268546,0.12254623807840798,-0.29441013447329967,0.3392594905944848,-0.0023077231458300323,-0.04082910308508704,-0.8969288766386653,-0.8698417752417182
