Repeat,Model,Contamination,RMSE,MAE,R2
5,Ridge,0.05,0.7456547608330014,0.5363538683970168,0.5757042025923087
5,LASSO,0.05,0.741449695432886,0.539845911975419,0.580476278790837
5,Huber,0.05,0.7580748319577149,0.5173247357077673,0.5614518364952232
6,OLS,0.05,0.7433464434176175,0.5315675292596265,0.5783271145750344
6,Ridge,0.05,0.7433279352986731,0.5315626531309391,0.5783481122533849
6,LASSO,0.05,0.7400471224290779,0.5344179117151413,0.582061972628764
6,Huber,0.05,0.7583878238033783,0.5169251124716303,0.5610896286247128
7,OLS,0.05,0.752308606470904,0.5318254924026816,0.568098014613764
7,Ridge,0.05,0.7522731870113138,0.5318121099869548,0.5681386824319178
7,LASSO,0.05,0.7439507665282291,0.5319572501558356,0.577641215675345
7,Huber,0.05,0.7603719378415454,0.5174491715491639,0.5587900468806009
8,OLS,0.05,0.7450265737396534,0.5312784167721578,0.576418809093197
8,Ridge,0.05,0.7450043224498513,0.5312720403649458,0.576444110437919
8,LASSO,0.05,0.7405206894696907,0.5334690819077823,0.5815269121028136
8,Huber,0.05,0.7555954685546072,0.5174755675342351,0.56431578111845
9,OLS,0.05,0.7422188604385456,0.5338998202107702,0.5796054163714526
9,Ridge,0.05,0.7422016854973981,0.5338949948650932,0.5796248720039596
9,LASSO,0.05,0.7391514505110762,0.5368660564491355,0.5830730131855137
9,Huber,0.05,0.758114953646547,0.5174221914316233,0.5614054142745283
10,OLS,0.05,0.746129322217187,0.5319464296244937,0.5751639566606083
10,Ridge,0.05,0.7461021239277492,0.5319370574178617,0.5751949287795836
10,LASSO,0.05,0.7402852716392806,0.5333454616221566,0.5817929421227626
10,Huber,0.05,0.7579104863690643,0.5173141532952629,0.5616419645420108
11,OLS,0.05,0.7475918562805232,0.5321531989304843,0.5734968297247014
11,Ridge,0.05,0.7475690892545463,0.5321488755240965,0.5735228066285931
11,LASSO,0.05,0.7426195722801016,0.53481010048985,0.5791513654967506
11,Huber,0.05,0.7611647841968885,0.5174852711725764,0.5578694603579046
12,OLS,0.05,0.7474282117825285,0.5335601956300438,0.5736835285436142
12,Ridge,0.05,0.7473958997245969,0.5335487315591682,0.5737203879089654
12,LASSO,0.05,0.7406085267455852,0.534573734951437,0.5814276313761395
12,Huber,0.05,0.7613044490428488,0.517299770175323,0.5577071938941742
13,OLS,0.05,0.7436528271553431,0.5338625064446058,0.5779794426633805
13,Ridge,0.05,0.7436281110398317,0.5338526572130163,0.5780074948273054
13,LASSO,0.05,0.7392934207454633,0.5357888464051195,0.5829128378750681
13,Huber,0.05,0.7573033843578183,0.5172747674647522,0.562343951023835
14,OLS,0.05,0.7403702808699509,0.5313063280465755,0.5816968886070308
14,Ridge,0.05,0.740353632029852,0.5312986732436603,0.5817157013105956
14,LASSO,0.05,0.7380459098897103,0.5332467073553641,0.5843192666184609
14,Huber,0.05,0.7552711754004591,0.516992715701343,0.5646896824863444
